Year,Nominal GDP (trillions),Real GDP (trillions),GDP Growth Rate
1920,,$0.69 ,
1921,,$0.67 ,-2.30%
1922,,$0.71 ,5.57%
1923,,$0.80 ,13.15%
1924,,$0.83 ,3.09%
1925,,$0.85 ,2.34%
1926,,$0.90 ,6.53%
1927,,$0.91 ,0.96%
1928,,$0.92 ,1.15%
1929,$0.11 ,$1.19 ,6.05%
1930,$0.09 ,$1.09 ,-8.48%
1931,$0.08 ,$1.02 ,-6.42%
1932,$0.06 ,$0.89 ,-12.94%
1933,$0.06 ,$0.88 ,-1.24%
1934,$0.07 ,$0.97 ,10.83%
1935,$0.07 ,$1.06 ,8.95%
1936,$0.09 ,$1.20 ,12.84%
1937,$0.09 ,$1.26 ,5.19%
1938,$0.09 ,$1.22 ,-3.34%
1939,$0.09 ,$1.31 ,7.98%
1940,$0.10 ,$1.43 ,8.84%
1941,$0.13 ,$1.68 ,17.72%
1942,$0.17 ,$2.00 ,18.92%
1943,$0.20 ,$2.34 ,17.01%
1944,$0.22 ,$2.53 ,7.95%
1945,$0.23 ,$2.50 ,-0.99%
1946,$0.23 ,$2.21 ,-11.60%
1947,$0.25 ,$2.19 ,-1.13%
1948,$0.28 ,$2.28 ,4.12%
1949,$0.27 ,$2.26 ,-0.57%
1950,$0.30 ,$2.46 ,8.71%
1951,$0.35 ,$2.66 ,8.01%
1952,$0.37 ,$2.77 ,4.10%
1953,$0.39 ,$2.89 ,4.67%
1954,$0.39 ,$2.88 ,-0.55%
1955,$0.43 ,$3.08 ,7.12%
1956,$0.45 ,$3.15 ,2.14%
1957,$0.47 ,$3.22 ,2.10%
1958,$0.48 ,$3.19 ,-0.75%
1959,$0.52 ,$3.41 ,6.93%
1960,$0.54 ,$3.50 ,2.58%
1961,$0.56 ,$3.59 ,2.57%
1962,$0.60 ,$3.81 ,6.13%
1963,$0.64 ,$3.98 ,4.36%
1964,$0.69 ,$4.21 ,5.76%
1965,$0.74 ,$4.48 ,6.52%
1966,$0.81 ,$4.77 ,6.59%
1967,$0.86 ,$4.91 ,2.74%
1968,$0.94 ,$5.15 ,4.91%
1969,$1.02 ,$5.31 ,3.13%
1970,$1.07 ,$5.32 ,0.17%
1971,$1.17 ,$5.49 ,3.29%
1972,$1.28 ,$5.78 ,5.26%
1973,$1.43 ,$6.11 ,5.64%
1974,$1.55 ,$6.07 ,-0.54%
1975,$1.69 ,$6.06 ,-0.20%
1976,$1.87 ,$6.39 ,5.38%
1977,$2.08 ,$6.68 ,4.63%
1978,$2.35 ,$7.05 ,5.54%
1979,$2.63 ,$7.28 ,3.16%
1980,$2.86 ,$7.26 ,-0.26%
1981,$3.21 ,$7.44 ,2.55%
1982,$3.34 ,$7.31 ,-1.81%
1983,$3.63 ,$7.64 ,4.58%
1984,$4.04 ,$8.20 ,7.24%
1985,$4.34 ,$8.54 ,4.17%
1986,$4.58 ,$8.83 ,3.47%
1987,$4.86 ,$9.14 ,3.45%
1988,$5.24 ,$9.52 ,4.17%
1989,$5.64 ,$9.87 ,3.68%
1990,$5.96 ,$10.06 ,1.88%
1991,$6.16 ,$10.04 ,-0.11%
1992,$6.52 ,$10.40 ,3.52%
1993,$6.86 ,$10.68 ,2.75%
1994,$7.29 ,$11.12 ,4.03%
1995,$7.64 ,$11.41 ,2.68%
1996,$8.07 ,$11.84 ,3.78%
1997,$8.58 ,$12.37 ,4.44%
1998,$9.06 ,$12.93 ,4.49%
1999,$9.63 ,$13.54 ,4.79%
2000,$10.25 ,$14.10 ,4.08%
2001,$10.58 ,$14.23 ,0.96%
2002,$10.93 ,$14.47 ,1.70%
2003,$11.46 ,$14.88 ,2.79%
2004,$12.22 ,$15.45 ,3.85%
2005,$13.04 ,$15.99 ,3.48%
2006,$13.82 ,$16.43 ,2.78%
2007,$14.47 ,$16.76 ,2.00%
2008,$14.77 ,$16.78 ,0.12%
2009,$14.48 ,$16.35 ,-2.58%
2010,$15.05 ,$16.79 ,2.70%
2011,$15.60 ,$17.05 ,1.56%
2012,$16.25 ,$17.44 ,2.29%
2013,$16.88 ,$17.81 ,2.12%
2014,$17.61 ,$18.26 ,2.53%
2015,$18.30 ,$18.80 ,2.95%
2016,$18.81 ,$19.14 ,1.82%
2017,$19.61 ,$19.61 ,2.46%
2018,$20.66 ,$20.19 ,2.97%
2019,$21.52 ,$20.69 ,2.47%
2020,$21.32 ,$20.23 ,-2.21%
2021,$23.59 ,$21.41 ,5.80%
2022,$25.74 ,$21.82 ,1.93%
2023,$27.36 ,$22.38 ,2.54%
