yyyymm,DATE,UNRATE
194801,1948-01-01,3.4
194802,1948-02-01,3.8
194803,1948-03-01,4
194804,1948-04-01,3.9
194805,1948-05-01,3.5
194806,1948-06-01,3.6
194807,1948-07-01,3.6
194808,1948-08-01,3.9
194809,1948-09-01,3.8
194810,1948-10-01,3.7
194811,1948-11-01,3.8
194812,1948-12-01,4
194901,1949-01-01,4.3
194902,1949-02-01,4.7
194903,1949-03-01,5
194904,1949-04-01,5.3
194905,1949-05-01,6.1
194906,1949-06-01,6.2
194907,1949-07-01,6.7
194908,1949-08-01,6.8
194909,1949-09-01,6.6
194910,1949-10-01,7.9
194911,1949-11-01,6.4
194912,1949-12-01,6.6
195001,1950-01-01,6.5
195002,1950-02-01,6.4
195003,1950-03-01,6.3
195004,1950-04-01,5.8
195005,1950-05-01,5.5
195006,1950-06-01,5.4
195007,1950-07-01,5
195008,1950-08-01,4.5
195009,1950-09-01,4.4
195010,1950-10-01,4.2
195011,1950-11-01,4.2
195012,1950-12-01,4.3
195101,1951-01-01,3.7
195102,1951-02-01,3.4
195103,1951-03-01,3.4
195104,1951-04-01,3.1
195105,1951-05-01,3
195106,1951-06-01,3.2
195107,1951-07-01,3.1
195108,1951-08-01,3.1
195109,1951-09-01,3.3
195110,1951-10-01,3.5
195111,1951-11-01,3.5
195112,1951-12-01,3.1
195201,1952-01-01,3.2
195202,1952-02-01,3.1
195203,1952-03-01,2.9
195204,1952-04-01,2.9
195205,1952-05-01,3
195206,1952-06-01,3
195207,1952-07-01,3.2
195208,1952-08-01,3.4
195209,1952-09-01,3.1
195210,1952-10-01,3
195211,1952-11-01,2.8
195212,1952-12-01,2.7
195301,1953-01-01,2.9
195302,1953-02-01,2.6
195303,1953-03-01,2.6
195304,1953-04-01,2.7
195305,1953-05-01,2.5
195306,1953-06-01,2.5
195307,1953-07-01,2.6
195308,1953-08-01,2.7
195309,1953-09-01,2.9
195310,1953-10-01,3.1
195311,1953-11-01,3.5
195312,1953-12-01,4.5
195401,1954-01-01,4.9
195402,1954-02-01,5.2
195403,1954-03-01,5.7
195404,1954-04-01,5.9
195405,1954-05-01,5.9
195406,1954-06-01,5.6
195407,1954-07-01,5.8
195408,1954-08-01,6
195409,1954-09-01,6.1
195410,1954-10-01,5.7
195411,1954-11-01,5.3
195412,1954-12-01,5
195501,1955-01-01,4.9
195502,1955-02-01,4.7
195503,1955-03-01,4.6
195504,1955-04-01,4.7
195505,1955-05-01,4.3
195506,1955-06-01,4.2
195507,1955-07-01,4
195508,1955-08-01,4.2
195509,1955-09-01,4.1
195510,1955-10-01,4.3
195511,1955-11-01,4.2
195512,1955-12-01,4.2
195601,1956-01-01,4
195602,1956-02-01,3.9
195603,1956-03-01,4.2
195604,1956-04-01,4
195605,1956-05-01,4.3
195606,1956-06-01,4.3
195607,1956-07-01,4.4
195608,1956-08-01,4.1
195609,1956-09-01,3.9
195610,1956-10-01,3.9
195611,1956-11-01,4.3
195612,1956-12-01,4.2
195701,1957-01-01,4.2
195702,1957-02-01,3.9
195703,1957-03-01,3.7
195704,1957-04-01,3.9
195705,1957-05-01,4.1
195706,1957-06-01,4.3
195707,1957-07-01,4.2
195708,1957-08-01,4.1
195709,1957-09-01,4.4
195710,1957-10-01,4.5
195711,1957-11-01,5.1
195712,1957-12-01,5.2
195801,1958-01-01,5.8
195802,1958-02-01,6.4
195803,1958-03-01,6.7
195804,1958-04-01,7.4
195805,1958-05-01,7.4
195806,1958-06-01,7.3
195807,1958-07-01,7.5
195808,1958-08-01,7.4
195809,1958-09-01,7.1
195810,1958-10-01,6.7
195811,1958-11-01,6.2
195812,1958-12-01,6.2
195901,1959-01-01,6
195902,1959-02-01,5.9
195903,1959-03-01,5.6
195904,1959-04-01,5.2
195905,1959-05-01,5.1
195906,1959-06-01,5
195907,1959-07-01,5.1
195908,1959-08-01,5.2
195909,1959-09-01,5.5
195910,1959-10-01,5.7
195911,1959-11-01,5.8
195912,1959-12-01,5.3
196001,1960-01-01,5.2
196002,1960-02-01,4.8
196003,1960-03-01,5.4
196004,1960-04-01,5.2
196005,1960-05-01,5.1
196006,1960-06-01,5.4
196007,1960-07-01,5.5
196008,1960-08-01,5.6
196009,1960-09-01,5.5
196010,1960-10-01,6.1
196011,1960-11-01,6.1
196012,1960-12-01,6.6
196101,1961-01-01,6.6
196102,1961-02-01,6.9
196103,1961-03-01,6.9
196104,1961-04-01,7
196105,1961-05-01,7.1
196106,1961-06-01,6.9
196107,1961-07-01,7
196108,1961-08-01,6.6
196109,1961-09-01,6.7
196110,1961-10-01,6.5
196111,1961-11-01,6.1
196112,1961-12-01,6
196201,1962-01-01,5.8
196202,1962-02-01,5.5
196203,1962-03-01,5.6
196204,1962-04-01,5.6
196205,1962-05-01,5.5
196206,1962-06-01,5.5
196207,1962-07-01,5.4
196208,1962-08-01,5.7
196209,1962-09-01,5.6
196210,1962-10-01,5.4
196211,1962-11-01,5.7
196212,1962-12-01,5.5
196301,1963-01-01,5.7
196302,1963-02-01,5.9
196303,1963-03-01,5.7
196304,1963-04-01,5.7
196305,1963-05-01,5.9
196306,1963-06-01,5.6
196307,1963-07-01,5.6
196308,1963-08-01,5.4
196309,1963-09-01,5.5
196310,1963-10-01,5.5
196311,1963-11-01,5.7
196312,1963-12-01,5.5
196401,1964-01-01,5.6
196402,1964-02-01,5.4
196403,1964-03-01,5.4
196404,1964-04-01,5.3
196405,1964-05-01,5.1
196406,1964-06-01,5.2
196407,1964-07-01,4.9
196408,1964-08-01,5
196409,1964-09-01,5.1
196410,1964-10-01,5.1
196411,1964-11-01,4.8
196412,1964-12-01,5
196501,1965-01-01,4.9
196502,1965-02-01,5.1
196503,1965-03-01,4.7
196504,1965-04-01,4.8
196505,1965-05-01,4.6
196506,1965-06-01,4.6
196507,1965-07-01,4.4
196508,1965-08-01,4.4
196509,1965-09-01,4.3
196510,1965-10-01,4.2
196511,1965-11-01,4.1
